	name	rarity	wins	losses	W/L	Games	AdjustedGames	WARC
96	God-Eternal Oketra	mythic	476	329	0.591304347826087	805	12880.0	2464.0
240	Ugin, the Ineffable	rare	1050	828	0.5591054313099042	1878	15024.0	2390.4000000000005
138	Liliana, Dreadhorde General	mythic	521	419	0.5542553191489362	940	15040.0	2320.0000000000005
115	Island	land	9096	8254	0.5242651296829971	17350	17350.0	2155.999999999999
215	Swamp	land	8828	7993	0.5248201652696035	16821	16821.0	2099.6000000000004
194	Sarkhan the Masterless	rare	801	587	0.5770893371757925	1388	11104.0	1966.3999999999994
95	God-Eternal Kefnet	mythic	402	298	0.5742857142857143	700	11200.0	1951.9999999999998
109	Ilharg, the Raze-Boar	mythic	418	324	0.5633423180592992	742	11872.0	1939.2000000000003
149	Mountain	land	7687	6700	0.5343018002363245	14387	14387.0	1932.1999999999996
169	Plains	land	7546	6643	0.5318204242723237	14189	14189.0	1870.4000000000003
161	Nissa, Who Shakes the World	rare	710	505	0.5843621399176955	1215	9720.0	1791.9999999999998
159	Nicol Bolas, Dragon-God	mythic	454	408	0.5266821345707656	862	13792.0	1747.1999999999991
85	Forest	land	7820	7505	0.5102773246329527	15325	15325.0	1690.0000000000002
124	Kasmina, Enigmatic Mentor	uncommon	2206	1754	0.557070707070707	3960	10560.0	1658.6666666666663
130	Krenko, Tin Street Kingpin	rare	778	656	0.5425383542538355	1434	11472.0	1635.2
239	Ugin's Conjurant	uncommon	2242	1901	0.5411537533188511	4143	11048.0	1559.4666666666665
78	Finale of Eternity	mythic	329	257	0.5614334470989761	586	9376.0	1513.6000000000001
187	Roalesk, Apex Hybrid	mythic	375	331	0.5311614730878187	706	11296.0	1481.5999999999997
38	Chandra, Fire Artisan	rare	683	563	0.5481540930979133	1246	9968.0	1476.7999999999995
94	God-Eternal Bontu	mythic	355	306	0.5370650529500757	661	10576.0	1449.6000000000001
126	Kaya, Bane of the Dead	uncommon	1991	1632	0.5495445763179685	3623	9661.333333333332	1444.7999999999993
228	Tibalt, Rakish Instigator	uncommon	1967	1659	0.5424710424710425	3626	9669.333333333332	1377.6
76	Feather, the Redeemed	rare	583	444	0.5676728334956183	1027	8216.0	1377.5999999999995
13	Awakening of Vitu-Ghazi	rare	720	651	0.5251641137855579	1371	10968.0	1372.7999999999993
5	Angrath, Captain of Chaos	uncommon	1865	1515	0.5517751479289941	3380	9013.333333333332	1367.9999999999995
224	The Wanderer	uncommon	1922	1604	0.5450935904707884	3526	9402.666666666666	1364.2666666666664
81	Finale of Revelation	mythic	305	246	0.5535390199637024	551	8816.0	1353.6
120	Jiang Yanggu, Wildcrafter	uncommon	2209	2049	0.5187881634570221	4258	11354.666666666666	1348.7999999999995
170	Planewide Celebration	rare	680	600	0.53125	1280	10240.0	1343.9999999999998
72	Eternal Skylord	uncommon	1826	1490	0.5506634499396864	3316	8842.666666666666	1332.2666666666667
248	Vraska, Swarm's Eminence	uncommon	1923	1654	0.5376013419066257	3577	9538.666666666666	1312.533333333333
65	Dreadmalkin	uncommon	1886	1601	0.5408660739891024	3487	9298.666666666666	1309.866666666666
117	Jace, Wielder of Mysteries	rare	603	499	0.5471869328493648	1102	8816.0	1297.6
144	Massacre Girl	rare	579	463	0.555662188099808	1042	8336.0	1297.5999999999997
232	Tolsimir, Friend to Wolves	rare	581	468	0.553860819828408	1049	8392.0	1291.1999999999994
88	Gideon Blackblade	mythic	320	288	0.5263157894736842	608	9728.0	1228.7999999999995
49	Davriel, Rogue Shadowmage	uncommon	1898	1713	0.5256161728053171	3611	9629.333333333332	1209.6000000000001
35	Challenger Troll	uncommon	1775	1554	0.5331931510964254	3329	8877.333333333332	1182.4
37	Chandra's Triumph	uncommon	1567	1247	0.5568585643212509	2814	7504.0	1177.0666666666666
206	Spark Harvest	common	4584	3950	0.5371455355050386	8534	8534.0	1170.3999999999994
70	Enter the God-Eternals	rare	532	434	0.5507246376811594	966	7728.0	1164.8
219	Teferi, Time Raveler	rare	481	374	0.5625730994152047	855	6840.0	1112.0000000000002
63	Dreadhorde Invasion	rare	597	552	0.5195822454308094	1149	9192.0	1099.2000000000003
153	Nahiri, Storm of Stone	uncommon	1618	1400	0.5361166335321405	3018	8048.0	1095.4666666666662
11	Augur of Bolas	uncommon	1602	1378	0.5375838926174497	2980	7946.666666666666	1093.333333333333
79	Finale of Glory	mythic	255	212	0.5460385438972163	467	7472.0	1091.2
