	name	rarity	Wins	Losses	W/L	Games	AdjustedGames	WARC
1	Act of Treason	common	37	47	0.44047619047619047	84	84.0	3.3999999999999972
91	Glass of the Guildpact	rare	2	2	0.5	4	32.0	3.1999999999999993
36	Cavalcade of Calamity	uncommon	9	12	0.42857142857142855	21	56.0	1.5999999999999974
56	Deface	common	3	4	0.42857142857142855	7	7.0	0.19999999999999968
180	Sagittars' Volley	common	18	27	0.4	45	45.0	0.0
236	Tower Defense	uncommon	5	8	0.38461538461538464	13	34.666666666666664	-0.5333333333333333
92	Goblin Gathering	common	20	32	0.38461538461538464	52	52.0	-0.8
174	Root Snare	common	2	6	0.25	8	8.0	-1.2000000000000002
76	Font of Agonies	rare	1	2	0.3333333333333333	3	24.0	-1.600000000000001
30	Burn Bright	common	10	22	0.3125	32	32.0	-2.8000000000000007
38	Cindervines	rare	0	2	0.0	2	16.0	-6.4
108	Hallowed Fountain	rare	0	2	0.0	2	16.0	-6.4
