	name	rarity	wins	losses	games	W/L	AdjustedGames	WARC
75	Fireblade Artist	uncommon	422	413	835	0.5053892215568863	2226.6666666666665	234.66666666666666
249	Vizkopa Vampire	common	990	899	1889	0.5240868184224458	1889.0	234.39999999999998
60	Domri, Chaos Bringer	mythic	63	58	121	0.5206611570247934	1936.0	233.60000000000005
62	Dovin, Grand Arbiter	mythic	57	49	106	0.5377358490566038	1696.0	233.59999999999994
28	Bolrac-Clan Crusher	uncommon	337	291	628	0.5366242038216561	1674.6666666666665	228.8
50	Consign to the Pit	common	1013	953	1966	0.5152594099694812	1966.0	226.59999999999994
150	Plague Wight	common	959	878	1837	0.5220468154599891	1837.0	224.19999999999993
131	Lumbering Battlement	rare	122	114	236	0.5169491525423728	1888.0	220.79999999999987
100	Gruul Beastmaster	uncommon	336	298	634	0.5299684542586751	1690.6666666666665	219.73333333333335
175	Rix Maadi Reveler	rare	147	152	299	0.4916387959866221	2392.0	219.19999999999996
243	Twilight Panther	common	867	753	1620	0.5351851851851852	1620.0	219.0
168	Rampaging Rendhorn	common	892	796	1688	0.5284360189573459	1688.0	216.7999999999999
172	Resolute Watchdog	uncommon	329	293	622	0.5289389067524116	1658.6666666666665	213.86666666666667
101	Gruul Guildgate	common	978	937	1915	0.5107049608355091	1915.0	211.99999999999986
115	Immolation Shaman	rare	100	84	184	0.5434782608695652	1472.0	211.19999999999993
41	Clamor Shaman	uncommon	312	273	585	0.5333333333333333	1560.0	207.99999999999994
110	Hero of Precinct One	rare	135	139	274	0.4927007299270073	2192.0	203.19999999999996
200	Simic Guildgate	common	1013	1017	2030	0.49901477832512314	2030.0	200.99999999999994
63	Drill Bit	uncommon	320	292	612	0.5228758169934641	1632.0	200.53333333333336
72	Faerie Duelist	common	864	795	1659	0.5207956600361664	1659.0	200.4
257	Zhur-Taa Goblin	uncommon	298	261	559	0.5330948121645797	1490.6666666666665	198.40000000000003
19	Bedevil	rare	142	151	293	0.48464163822525597	2344.0	198.39999999999992
8	Arrester's Admonition	common	914	882	1796	0.5089086859688196	1796.0	195.59999999999988
162	Rakdos Guildgate	common	904	869	1773	0.5098702763677383	1773.0	194.79999999999995
174	Rhythm of the Wild	uncommon	343	332	675	0.5081481481481481	1800.0	194.6666666666666
82	Frilled Mystic	uncommon	375	380	755	0.4966887417218543	2013.3333333333333	194.66666666666657
238	Titanic Brawl	common	892	858	1750	0.5097142857142857	1750.0	191.9999999999999
228	Syndicate Guildmage	uncommon	249	196	445	0.5595505617977528	1186.6666666666665	189.33333333333323
187	Scorchmark	common	707	595	1302	0.543010752688172	1302.0	186.19999999999993
52	Cry of the Carnarium	uncommon	363	373	736	0.49320652173913043	1962.6666666666665	182.93333333333328
15	Azorius Skyguard	uncommon	245	199	444	0.5518018018018018	1184.0	179.73333333333335
155	Prime Speaker Vannifar	mythic	48	44	92	0.5217391304347826	1472.0	179.19999999999993
